Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2021-49,10/12/21,147,10/12/21,144,145,979,3996183,579573154.3,10/12/21,5
2021-48,29/11/2021,150,30/11/2021,142,145,2068,4152238,597868567.5,3/12/21,5
2021-47,22/11/2021,157.25,26/11/2021,150,150,1142,2815832,430542782.5,26-11-2021,5
2021-46,19/11/2021,155.25,15/11/2021,145.5,154.5,1251,2521369,380485437.8,19-11-2021,4
2021-45,12/11/21,150.5,9/11/21,146,150,996,4242212,628484836.5,12/11/21,5
2021-44,3/11/21,151.75,2/11/21,147,150,1134,4817117,721908432.5,5/11/21,4
2021-43,29/10/2021,149.5,25/10/2021,140,149,1597,5401413,781353211.8,29-10-2021,5
2021-42,18/10/2021,146,22/10/2021,141,141.25,1257,1819397,259546224,22-10-2021,3
2021-41,11/10/21,152.75,15/10/2021,145.5,146,1659,2466424,365818702.3,15-10-2021,5
2021-40,4/10/21,155,4/10/21,150,152.75,2212,3259262,495436788.5,8/10/21,5
2021-39,1/10/21,158,27/09/2021,134.75,150.5,5921,24180789,3446857606,1/10/21,5
2021-38,23/09/2021,139.75,21/09/2021,129.75,135,1179,5395294,712148327.8,24-09-2021,4
2021-37,17/09/2021,131.75,14/09/2021,129,130,1002,5711940,742404256,17-09-2021,5
2021-36,6/9/21,132.5,8/9/21,129,131,1362,1553909,203025171.8,10/9/21,5
2021-35,2/9/21,134.25,1/9/21,130,131.25,2112,4453529,582012861.5,3/9/21,5
2021-34,26/08/2021,134.75,24/08/2021,130.5,131.75,1673,4051700,537669216.5,27-08-2021,5
2021-33,16/08/2021,134.5,20/08/2021,132,132.5,1109,1984716,262473003.3,20-08-2021,5
2021-32,9/8/21,138.5,13/08/2021,133.5,134.25,787,2079463,283686660.5,13-08-2021,5
2021-31,4/8/21,141,2/8/21,135,137.75,1177,6831772,950526593.8,6/8/21,5
2021-30,26/07/2021,140,27/07/2021,136,137.75,635,1848819,254167352.8,30-07-2021,5
2021-29,19/07/2021,143,22/07/2021,139,139.25,681,5061621,710385530.8,22-07-2021,3
2021-28,15/07/2021,141,12/7/21,134.5,139,892,2516876,342897933,16-07-2021,5
2021-27,9/7/21,137,6/7/21,130.75,136,2323,9927312,1321069927,9/7/21,5
2021-26,28/06/2021,140,2/7/21,134.5,135,782,1489978,203376739.3,2/7/21,5
2021-25,25/06/2021,138.5,22/06/2021,133,138.25,1405,1583469,215453686.5,25-06-2021,4
2021-24,16/06/2021,138,18/06/2021,135.25,135.75,1388,1102097,150141541,18-06-2021,5
2021-23,7/6/21,140,11/6/21,137,137.75,975,1473831,203407836.3,11/6/21,5
2021-22,1/6/21,141,4/6/21,137.25,138,861,4768084,665055316.8,4/6/21,5
2021-21,28/05/2021,139.5,25/05/2021,135,137.5,872,1660456,226824446,28-05-2021,3
2021-20,18/05/2021,140.5,21/05/2021,135,138,968,1174556,163658455.3,21-05-2021,5
2021-19,10/5/21,139.5,11/5/21,134.5,135.75,775,2274848,307072656,13-05-2021,4
2021-18,3/5/21,141,6/5/21,133.5,135,2301,5845649,797102001.5,7/5/21,5
2021-17,27/04/2021,145,30/04/2021,140.5,141,805,2434417,342904122.5,30-04-2021,4
