Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
4/1/16,29/01/2016,225,27/01/2016,210.1,217.9,60,56661,12238993.9,29-01-2016,4
3/1/16,21/01/2016,227,18/01/2016,205.1,220.5,77,574417,123445389.6,22-01-2016,5
2/1/16,13/01/2016,236.5,14/01/2016,221,221,97,171818,39374202.3,14-01-2016,4
1/1/16,6/1/16,245.9,8/1/16,229.5,230.1,98,291652,68769475.7,8/1/16,5
2015-53,28/12/2015,247.1,31/12/2015,245.5,246,44,56980,14045381.3,31-12-2015,4
2015-52,21/12/2015,255,21/12/2015,246.9,249,17,1715,427951.8,23-12-2015,3
2015-51,17/12/2015,260,14/12/2015,245,249.9,30,39652,9912923.6,18-12-2015,5
2015-50,7/12/15,265,11/12/15,245.1,249.9,76,130023,32977940.8,11/12/15,5
2015-49,2/12/15,271,4/12/15,240,265,70,189165,50961299,4/12/15,4
2015-48,23/11/2015,275,27/11/2015,270,271,35,104950,28648604.9,27-11-2015,4
2015-47,20/11/2015,280,16/11/2015,275.1,276,71,249173,68779577.9,20-11-2015,5
2015-46,9/11/15,280,13/11/2015,275,275.1,39,175658,48613549.6,13-11-2015,4
2015-45,6/11/15,285,4/11/15,275,280,68,376501,104531044.7,6/11/15,5
