Period,Date High,High (Rs.),Date Low (Rs.),Low (Rs.),Close (Rs.),Trade Vol,Share Vol,Turnover (Rs.),Last Traded Date,Days Traded
2022-33,15/08/2022,9,19/08/2022,8.4,8.6,1189,3458182,29757409.1,19-08-2022,5
2022-32,9/8/22,9.2,12/8/22,8.8,8.9,698,5489559,49153530.3,12/8/22,4
2022-31,5/8/22,9.2,1/8/22,8.8,9,349,2428912,21949820.8,5/8/22,5
2022-30,29/07/2022,9,29/07/2022,8.7,9,291,2683765,24018991.3,29-07-2022,6
2022-29,22/07/2022,9,22/07/2022,8.7,8.9,288,635537,5590938.6,22-07-2022,5
2022-28,15/07/2022,8.9,11/7/22,8.5,8.9,227,1363305,11791539,15-07-2022,4
2022-27,4/7/22,8.8,7/7/22,8.4,8.6,420,2104531,17886976.6,8/7/22,5
2022-26,1/7/22,8.8,28/06/2022,8.4,8.7,534,3365585,28697073.6,1/7/22,5
2022-25,21/06/2022,10.2,22/06/2022,8.4,8.8,1062,5783941,54308310.6,24-06-2022,5
2022-24,13/06/2022,10.3,17/06/2022,9.5,9.7,575,9070589,89428228,17-06-2022,4
2022-23,10/6/22,10.3,7/6/22,9.6,10.2,482,3116519,30715444.5,10/6/22,5
2022-22,3/6/22,9.7,1/6/22,9.2,9.6,604,12973235,122192064.8,3/6/22,5
2022-21,24/05/2022,9.8,26/05/2022,9.1,9.3,534,2792594,26353434.8,27-05-2022,5
2022-20,20/05/2022,10,17/05/2022,9.2,9.9,723,7658904,73418381.4,20-05-2022,4
2022-19,13/05/2022,10.1,12/5/22,9.2,10,278,1526706,14962465.8,13-05-2022,3
2022-18,5/5/22,9.9,4/5/22,9,9.2,234,1747061,15806757.6,6/5/22,3
2022-17,29/04/2022,9.4,27/04/2022,8.7,9,853,16798527,151306876.9,29-04-2022,5
2022-14,6/4/22,10,4/4/22,9.1,9.6,949,5064924,48768230,8/4/22,5
2022-13,28/03/2022,11.3,1/4/22,9.8,9.9,919,2878663,30058617.6,1/4/22,5
12/1/22,25/03/2022,11.3,25/03/2022,11,11,294,1788201,19868522.7,25-03-2022,5
11/1/22,15/03/2022,11.4,18/03/2022,10.9,11,690,23891282,267478097.2,18-03-2022,4
10/1/22,7/3/22,11.6,10/3/22,11,11.4,918,10413196,118219127.3,11/3/22,5
9/1/22,28/02/2022,11.8,28/02/2022,11.2,11.4,506,4665438,53294979,4/3/22,4
8/1/22,22/02/2022,11.7,25/02/2022,11.2,11.3,1803,29643302,339210869.1,25-02-2022,5
7/1/22,14/02/2022,12.2,18/02/2022,11.5,11.6,2070,12222944,144418824.5,18-02-2022,4
